image_path,ordor,familia,genus,species
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-203_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-224_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-144_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-154_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-218_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-187_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-228_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-198_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-160_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-200_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-137_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-202_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-180_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-136_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-181_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-225_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-210_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-178_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-211_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-158_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-151_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-212_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-169_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-163_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-207_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-213_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-174_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-215_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-153_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-217_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-182_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-133_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-192_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-193_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-168_2024-12-02.jpg,2,2,3,0
/home/dubu/manh/dongvan-yolo/dataset-dongvan-train/train/abel/Image-148_2024-12-02.jpg,2,2,3,0
